,departement,total_pop,total_pop_hommes,total_pop_femmes,total_pop_0_14,total_pop_15_29,total_pop_30_44,total_pop_45_59,total_pop_60_74,total_pop_75_89,total_pop_90_plus
47,47,331970,159466.454103,172503.545897,53192.686187,47170.586707,53617.385355,67836.559343,67163.586169,36697.100896,6292.095342
48,48,76520,38226.581031,38293.418969,11809.23158,10959.703381,12614.136246,16308.666591,15453.233391,7992.052271,1382.976539
49,49,815883,396766.952,419116.048,156455.647929,147227.450098,147818.688933,155721.166129,129877.881338,67003.850773,11778.3148
50,50,495983,241989.4377,253993.5623,81971.19032,72867.984557,81857.092999,102566.510546,96786.41362,51868.074198,8065.73376
51,51,567462,274674.004843,292787.995157,100930.877579,108230.32743,103559.634228,110850.796647,94258.175237,42873.438214,6758.750664
52,52,174069,85260.393082,88808.606918,27701.914078,26311.189045,28373.338493,36385.400567,34776.256558,17832.846977,2688.054281
53,53,307084,151348.267737,155735.732263,57878.549183,48126.686793,52975.222269,61396.20542,52681.638284,28926.291158,5099.406892
54,54,733469,356256.459741,377212.540259,124586.070198,145132.172459,135426.979006,142370.290725,119253.466482,58482.66948,8217.35165
55,55,185355,91769.952922,93585.047078,31463.294022,28553.876428,32180.046484,38297.556236,35390.565747,16953.290035,2516.371048
56,56,754867,366045.00191,388821.99809,126857.894613,108362.942758,127690.600444,155840.488544,150888.346451,74617.877681,10608.849508
57,57,1043524,510492.78427,533031.21573,175596.748646,175449.238055,197051.943859,222095.897056,177776.79927,85698.612311,9854.760804
58,58,205828,99032.221676,106795.778324,29633.240204,27384.516945,30908.013874,41696.71252,46825.540765,25067.602264,4312.373428
59,59,2606234,1257078.846416,1349155.153584,509652.280435,518569.362367,498710.689831,492342.330508,390731.754657,172379.965636,23847.616566
60,60,827153,404416.24259,422736.75741,166239.88826,142303.807747,161100.618369,169466.300439,127805.334985,52917.567687,7319.482513
61,61,281593,137116.755693,144476.244307,46148.205441,41064.563009,44272.081693,57209.844112,57135.775545,30457.681522,5304.848679
62,62,1466743,711417.539386,755325.460614,282895.081632,255510.368138,273303.332423,290301.204477,244247.680686,105853.91639,14631.416255
63,63,659048,319013.750738,340034.249262,107548.569092,117699.064047,118351.359239,131361.971421,118176.021315,57007.762195,8903.252691
64,64,679810,325779.224735,354030.775265,106434.507586,103470.063306,120143.156988,142213.713012,126467.337071,69458.21917,11623.002868
65,65,229191,110224.505719,118966.494281,33254.034035,33301.953327,36085.151709,48282.90349,47603.034783,26126.953231,4536.969426
66,66,476357,226330.02973,250026.97027,77552.035688,69848.737735,78634.652337,95005.678035,95820.693686,51634.819013,7860.383505
67,67,1133552,551416.221861,582135.778139,191327.679377,215534.650913,214422.186311,235108.791132,179785.565643,86033.711317,11339.415306
68,68,764981,374720.279005,390260.720995,135023.401396,124228.214766,143198.175839,163300.146629,128808.321161,62667.116784,7755.623424
69,69,1859524,894021.286054,965502.713946,351496.31705,396002.894637,369861.358609,336024.883528,252643.666103,132728.237758,20766.642314
70,70,236018,116185.84178,119832.15822,40886.192682,34086.258448,40696.452624,50102.250958,45825.848923,21482.158713,2938.837652
71,71,552185,268043.090247,284141.909753,90029.216477,77619.651888,90250.144634,113831.924303,111545.020466,58981.971693,9927.070538
72,72,565963,275383.595545,290579.404455,103132.932816,92557.367459,97507.576864,112788.459948,99735.469813,51739.136587,8502.056513
73,73,433724,212369.809221,221354.190779,75424.449116,70368.292577,81086.911168,90840.284524,73924.128669,36432.615409,5647.318537
74,74,816699,401806.113335,414892.886665,156636.282716,136220.342916,175125.299633,167866.301312,118709.843346,54337.761872,7803.168205
75,75,2175601,1023629.983945,1151971.016055,296848.38326,516375.165779,476741.460287,403546.140862,311472.61478,145423.472591,25193.762441
76,76,1255883,604058.694426,651824.305574,228109.495698,229840.969358,227259.007793,244589.056457,211016.515923,100013.720766,15054.234006
77,77,1412516,687740.379961,724775.620039,296935.795687,262320.162206,287797.166902,285009.207631,191737.588081,77731.882143,10984.197349
78,78,1441398,701719.333775,739678.666225,294201.616933,254275.436754,286150.869782,294669.8695,201632.945874,96717.071518,13750.189638
79,79,374799,183455.869491,191343.130509,65578.837138,53926.99,65224.216825,77826.551675,68936.676615,36833.522659,6472.205088
80,80,570662,276848.968996,293813.031004,100824.489851,106614.00217,102712.230146,112257.75979,96984.949711,44693.776455,6574.791877
81,81,388596,187373.846559,201222.153441,63759.809124,55689.378888,64841.309753,80288.167287,74952.814885,41508.554313,7555.965751
82,82,259124,126805.913513,132318.086487,47793.146492,37809.999956,46829.255237,52837.415945,46364.758155,23421.976814,4067.447401
83,83,1067697,512988.849889,554708.150111,166938.001427,155678.407813,181281.857383,216088.764891,213902.395507,116439.220039,17368.352941
84,84,559793,268538.532996,291254.467004,100695.499894,87594.168519,98222.877397,114210.431236,101279.876076,50465.391181,7324.755698
85,85,679991,332091.23654,347899.76346,119782.623704,95436.365919,119280.475936,134029.471224,135649.997447,65898.544363,9913.521407
86,86,437586,211323.233854,226262.766146,72963.577234,81542.738514,75004.983151,84304.911258,76609.001959,40009.922009,7150.865875
87,87,373199,177750.836663,195448.163337,57694.697228,61735.576496,62118.239732,74497.686343,72383.555495,38035.975686,6733.269019
88,88,366112,178253.573315,187858.426685,59595.461995,54704.346442,61135.241747,77355.708846,72376.214719,35625.621991,5319.40426
89,89,337504,164257.2329,173246.7671,58073.629777,47927.530547,57443.310431,68758.405122,66691.995693,32970.987314,5638.141116
90,90,141852,70508.860658,71343.139342,25127.034404,25559.173384,25949.397737,28470.367306,23599.33269,11468.095871,1678.598608
91,91,1296641,635069.165002,661571.834998,269618.197978,247405.297388,261052.204316,257857.678051,170853.823478,78774.060337,11079.738453
92,92,1619120,770528.249609,848591.750391,308022.889853,313814.359989,361548.858846,312832.210793,204874.541038,100028.303896,17998.835587
93,93,1632677,802964.061842,829712.938158,368538.916856,328705.994952,363006.891601,300466.055653,187719.285667,74640.836376,9599.018895
94,94,1396913,671706.959547,725206.040453,273344.973543,277767.75953,296833.436638,271295.463673,179810.65381,84479.915218,13380.797587
95,95,1238581,601649.3498,636931.6502,271736.992899,238727.625725,257567.743148,239018.849976,158907.70454,63272.790425,9349.293287
96,971,387629,178099.655147,209529.344853,71449.904002,63658.484698,63332.760967,90305.48637,66879.52747,27664.548594,4338.287898
97,972,368783,169559.774227,199223.225773,60558.160579,57879.797596,57042.105334,90813.243588,67044.480862,30825.529586,4619.682455
98,973,276128,135145.674928,140982.325072,90797.375908,64500.349949,56574.606597,40149.055621,18904.139911,4726.157573,476.314442
99,974,855961,410838.369563,445122.630437,195768.098555,168364.481675,164553.214712,181747.503522,105172.238567,36593.496144,3761.966825
